GENE,ATGENE,EVALUE,BITSCORE,Names,Description,DNA damage response GO:0006974,DNA metabolic process GO:0006259,biological process involved in interspec... GO:0044419,cell cycle GO:0007049,cell cycle process GO:0022402,cell death GO:0008219,cell recognition GO:0008037,cellular response to ionizing radiation GO:0071479,cellular response to iron ion GO:0071281,cellular response to stress GO:0033554,coumarin biosynthetic process GO:0009805,coumarin metabolic process GO:0009804,defense response GO:0006952,defense response to Gram-negative bacter... GO:0050829,defense response to bacterium GO:0042742,defense response to other organism GO:0098542,defense response to symbiont GO:0140546,detection of bacterium GO:0016045,detection of biotic stimulus GO:0009595,detection of external biotic stimulus GO:0098581,detection of other organism GO:0098543,double-strand break repair GO:0006302,immune response GO:0006955,immune response-activating signaling pat... GO:0002757,immune response-regulating signaling pat... GO:0002764,immune system process GO:0002376,innate immune response GO:0045087,innate immune response-activating signal... GO:0002758,mitotic cytokinesis GO:0000281,negative regulation of cell cycle GO:0045786,negative regulation of cell cycle proces... GO:0010948,pathogen-associated molecular pattern re... GO:0140426,pattern recognition receptor signaling p... GO:0002221,phosphate-containing compound metabolic ... GO:0006796,phosphorus metabolic process GO:0006793,phosphorylation GO:0016310,plant-type hypersensitive response GO:0009626,programmed cell death GO:0012501,protein desumoylation GO:0016926,protein phosphorylation GO:0006468,recognition of pollen GO:0048544,regulation of cell cycle GO:0051726,regulation of cell cycle process GO:0010564,regulation of defense response GO:0031347,regulation of immune response GO:0050776,regulation of immune system process GO:0002682,regulation of innate immune response GO:0045088,regulation of response to biotic stimulu... GO:0002831,regulation of response to external stimu... GO:0032101,regulation of response to stimulus GO:0048583,regulation of response to stress GO:0080134,response to bacterium GO:0009617,response to biotic stimulus GO:0009607,response to external biotic stimulus GO:0043207,response to external stimulus GO:0009605,response to oomycetes GO:0002239,response to other organism GO:0051707,response to stress GO:0006950,sideretin biosynthesis GO:0106146,symbiont-induced defense-related program... GO:0034050
Manes.02G089800.8,AT5G08560,0,764,ATWDR26; WD-40 REPEAT 26; WDR26; WDS1WDS1,"WRDR26 is a WD-40 repeat containing protein initially identified as an interacting partner RanBPM. Its expression is induced by abiotic stress as well as various plant growth regulators including IAA, ABA and ethylene. Role as a novel modulator of redox homeostatis, responding to developmental and stress signals to regulate leaf senescence.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"",""
Manes.02G091100.1,AT5G60870,0,558,RCC1/UVR8/GEF-LIKE 3; RUG3,Encodes a mitochondrial protein RUG3 that is required for accumulation of mitochondrial respiratory chain complex I. RUG3 is related to human REGULATOR OF CHROMOSOME CONDENSATION 1 (RCC1) and Arabidopsis UV-B RESISTANCE 8 (UVR8).,X,"","","","","","","","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"","","","",X,"","",X,"",""
Manes.02G093200.1,AT5G66760,0,1177,SDH1-1; SUCCINATE DEHYDROGENASE 1-1,One of two genes in Arabidopsis that encode a flavoprotein subunit of the  mitochondrial succinate dehydrogenase complex. The mRNA is cell-to-cell mobile.,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,"","","","","","","","","","","","","","","","","","","","","","","","",""
Manes.02G094000.2,AT3G50880,1.45e-113,328,"",DNA glycosylase superfamily protein;(source:Araport11),X,X,"","","","","","","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"",""
Manes.02G095200.6,AT2G18290,2.97e-124,348,ANAPHASE PROMOTING COMPLEX 10; APC10; ATAPC10; EMB2783; EMBRYO DEFECTIVE 2783,Encodes APC10 (anaphase promoting complex 10).  Overexpression of APC10 likely mimics auxin and ethylene sensitive phenotypes. Plays an essential role in cell proliferation during leaf development.,"",X,"",X,X,"","","","","","","","","","","","","","","","","","","","","","","","",X,X,"","","","","","","","","","",X,X,"","","","","","","","","","","","","","","","",""
Manes.02G097200.2,AT2G18193,4.25e-153,447,"",P-loop containing nucleoside triphosphate hydrolases superfamily protein;(source:Araport11),"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"",""
Manes.02G097400.4,AT3G50950,0,1062,HOPZ-ACTIVATED RESISTANCE 1; ZAR1,Encodes a canonical CC-type NLR protein that is required for the recognition of the T3SE HopZ1a as well as several other Hop effectors from the pathogenic bacteria P. syringae.,"","",X,"","","","","","","","","",X,X,X,X,"","","","","","",X,"","",X,"","","","","","","","","","","","","","","","","","",X,X,"","","",X,"",X,X,X,X,"",X,X,"",""
Manes.02G099300.1,AT5G66360,1.14e-143,415,ADENOSINE DIMETHYL TRANSFERASE 1B; DIM1B,Encodes a mitochondrial rRNA dimethylase.,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"",""
Manes.02G099400.7,AT2G18390,1.46e-115,325,ARF-LIKE 2; ARL2; ATARLC1; HAL; HALLIMASCH; TITAN 5; TTN5,"Encodes a member of ARF-like GTPase family. A thaliana has 21 members, in two subfamilies, ARF and ARF-like (ARL) GTPases.  Mutant has abnormal mitosis and cell cycle control during seed development.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"","","","",""
Manes.02G105900.1,AT3G51280,0,588,"",Tetratricopeptide repeat (TPR)-like superfamily protein;(source:Araport11),"","","","","","","","","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,"","","","",X,"","",X,"",""
Manes.02G107000.2,AT3G14470,0,681,LEUCINE RICH REPEAT PROTEIN 1; LRR4,NB-ARC domain-containing disease resistance protein;(source:Araport11),"","",X,"","","","","","","","","",X,X,X,X,"","","","","","",X,"","",X,"","","","","","","","","","","","","","","","","","",X,X,"","","",X,"",X,X,X,X,"",X,X,"",""
Manes.02G108100.3,AT5G15120,1.92e-57,187,HUP29; HYPOXIA  RESPONSE UNKNOWN PROTEIN 29; PCO1; PLANT CYSTEINE OXIDASE 1,"2-aminoethanethiol dioxygenase, putative (DUF1637);(source:Araport11)","","","","","","","","","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"",""
Manes.02G109800.4,AT3G51370,0,648,D-CLADE TYPE 2C PROTEIN PHOSPHATASE 6; PP2C.D6,Inhibits SALT OVERLY SENSITIVE 1 Na+/H+ antiporter activity under non-salt-stress conditions.,"","","","","","","","","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,"","","","","","",X,"",""
Manes.02G112700.2,AT5G66030,0,857,ATGRIP; GRIP,"Involved in golgi protein trafficking. AtARL1 binds directly to the GRIP domain of AtGRIP in a GTP-dependent manner. Localized to the golgi apparatus, tyrosine 717 in  AtGRIP is crucial for Golgi localization.","",X,"",X,X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Manes.02G119600.2,AT3G51860,0,543,ATCAX3; ATHCX1; CATION EXCHANGER 3; CAX1-LIKE; CAX3,Vacuolar Ca(2+)/H(+) transporter that forms a complex with CAX1 that plays a role in diverse processes including phosphate homeostasis and heavy metal tolerance,"","",X,"","","","","","",X,"","","","","","","","","","","","","","","","","","","","","","","","",X,"","","","","","","","","","","","","","",X,X,"",X,X,X,"",X,X,"",""
Manes.02G120800.2,AT5G58850,3.21e-80,256,ATMYB119; MYB DOMAIN PROTEIN 119; MYB119,"Encodes a putative transcription factor, member of the R2R3 factor gene family (MYB119).","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"","","","",""
Manes.02G122500.1,AT3G46970,0,1502,ALPHA-GLUCAN PHOSPHORYLASE 2; ARABIDOPSIS THALIANA ALPHA-GLUCAN PHOSPHORYLASE 2; ATPHS2; PHS2,"Encodes a cytosolic alpha-glucan phosphorylase. In vitro, the enzyme has a preference for branched polysaccharides, such as glycogen.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"",""
Manes.02G122542.3,AT5G58960,0,650,CHIQL10; CHIQUITA1-LIKE 10; GIL1; GRAVITROPIC IN THE LIGHT,Mutant plants display impaired light-regulation of the hypocotyl randomization response.,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"","","","",""
Manes.02G124700.1,AT1G07400,2.55e-76,224,HSP17.8,HSP20-like chaperones superfamily protein;(source:Araport11),"","","","","","","","","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"",""
Manes.02G129300.3,AT3G53810,0,564,L-TYPE LECTIN RECEPTOR KINASE IV.2; LECRK-IV.2,Concanavalin A-like lectin protein kinase family protein;(source:Araport11),"","",X,"","","","","","","","","",X,"",X,X,"","","","","","","","","","","","","","","","","",X,X,X,"","","",X,"","","","","","","","","","","",X,X,X,X,X,X,X,"",""
Manes.02G130400.5,AT2G29090,0,635,"CYP707A2; CYTOCHROME P450, FAMILY 707, SUBFAMILY A, POLYPEPTIDE 2","Encodes a protein with ABA 8'-hydroxylase activity, involved in ABA catabolism. Member of the CYP707A gene family. This gene predominantly accumulates in dry seeds and is up-regulated immediately following imbibition. CYP707A2 appears to play a major role in the rapid decrease in ABA levels during early seed imbibition.Encodes a protein with ABA 8 Prime-hydroxylase activity, involved in ABA catabolism. Member of the CYP707A gene family. This gene predominantly accumulates in dry seeds and is up-regulated immediately following imbibition. CYP707A2 appears to play a major role in the rapid decrease in ABA levels during early seed imbibition.","","",X,"","","","","","",X,"","",X,"","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,X,"",X,X,"",""
Manes.02G131000.1,AT2G37650,0,535,"",GRAS family transcription factor;(source:Araport11),"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"",""
Manes.02G132800.2,AT3G55440,3.89e-161,446,ATCTIMC; CYTOSOLIC ISOFORM TRIOSE PHOSPHATE ISOMERASE; CYTOSOLIC TRIOSE PHOSPHATE ISOMERASE; CYTOTPI; TPI; TRIOSEPHOSPHATE ISOMERASE,Encodes triosephosphate isomerase.,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,"","","","","","","","","","","","","","","","","","","","","","","","",""
Manes.02G134300.1,AT5G48380,9.7e-125,380,BAK1-INTERACTING RECEPTOR-LIKE KINASE 1; BIR1,"Encodes a BAK1-interacting receptor-like kinase named BIR1.  Negatively regulates multiple plant resistance signaling pathways, one of which is the SOBIR1(AT2G31880)-dependent pathway.","","",X,"","",X,"","","",X,"","",X,"",X,X,X,"","","","","",X,"","",X,X,"","","","","","",X,X,X,X,X,"",X,"","","",X,X,X,X,X,X,X,X,X,X,X,X,"",X,X,"",X
Manes.02G137100.2,AT4G38630,2.53e-172,487,ATMCB1; MBP1; MCB1; MULTIUBIQUITIN CHAIN BINDING PROTEIN 1; MULTIUBIQUITIN-CHAIN-BINDING PROTEIN 1; REGULATORY PARTICLE NON-ATPASE 10; RPN10,Regulatory particle non-ATPase subunit of the 26S proteasome with multiubiquitin-chain-binding capabilities,X,"","","","","","","","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"",""
Manes.02G137200.2,AT3G48750,0,538,CDC2; CDC2A; CDC2AAT; CDK2; CDKA1; CDKA;1; CELL DIVISION CONTROL 2,"A-type cyclin-dependent kinase. Together with its specific inhibitor,  the Kip-related protein, KRP2 they regulate the mitosis-to-endocycle transition during  leaf development. Dominant negative mutations abolish cell division. Loss of function phenotype has reduced fertility with failure to transmit via pollen. Pollen development is arrested at the  second mitotic division. Expression is regulated by environmental and chemical signals. Part of the promoter is responsible for expression in trichomes. Functions as a positive regulator of cell proliferation during development of the male gametophyte, embryo and endosperm. Phosphorylation of threonine 161 is required for activation of its associated kinase.","",X,"",X,X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,X,"","","",X,"",X,X,"","","","","","","","","","","","","","",X,"",""
Manes.02G142900.1,AT5G24240,0,774,ATPI4KGAMMA3; MOP9.5,"Encodes PI4Kc3, localizes to the nucleus and has autophosphorylation activity, but no lipid kinase activity. Overexpression mutants display late-flowering phenotype.","","",X,"","",X,"","","",X,"","",X,"","",X,X,"","","","","",X,"","",X,X,"","","","","","",X,X,X,X,X,"",X,"","","",X,X,X,X,X,X,X,X,"",X,X,X,"",X,X,"",X
Manes.02G145000.7,AT1G09730,0,575,ARABIDOPSIS SUMO PROTEASE 1; ASP1; SPF1; SUMO PROTEASE RELATED TO FERTILITY1,"Encodes a SUMO protease that positively regulates the transition to flowering in long and short days. Along with SPF2, its activity is required for fertility as asp1/spf2 double mutants have defects in gametogenesis and embroygenesis.Encodes a SUMO protease that positively regulates the transition to flowering in long and short days.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"","","","","","","","","","",X,"","","","","","","",X,"",""
Manes.02G153060.1,AT4G08850,2.16e-152,459,MDIS1-INTERACTING RECEPTOR LIKE KINASE2; MIK2,"MIK1 encodes a receptor kinase that forms a complex with MDIS1/MIK2 and binds LURE1, the female pollen guidance chemi-attractant. MIK1 phosphorylates MDIS1 and is autophosphorylated.","","",X,"","","","","","","","","",X,"","",X,"","","","","","","","","","","","","","","","","",X,X,X,"","","",X,"","","",X,"","","","","",X,X,X,X,X,X,"",X,X,"",""
Manes.02G155900.1,AT4G21410,1.98e-51,179,CRK29; CYSTEINE-RICH RLK (RECEPTOR-LIKE PROTEIN KINASE) 29,Encodes a cysteine-rich receptor-like protein kinase.,"","",X,"","",X,"","","",X,"","",X,"",X,X,X,"","","","","",X,"","",X,X,"","","","","","","","","",X,X,"","","","","","","","","","","","","",X,X,X,X,"",X,X,"",X
Manes.02G158732.2,AT1G77800,4.08e-49,171,PRE2; SPC; SUBUNIT OF THE PAGA COMPLEX,Functions as a scaffold protein providing a platform for interactions with other components in the PAGA complex. It not only interacts with ING1 to increase the binding affinity of ING1 for tri-methylated histone H3 but also interacts with ADA2A to increase the histone acetylation activity of GCN5.,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"",""
Manes.02G160400.1,AT1G77690,0,831,LAX3; LIKE AUX1 3,"Encodes an auxin influx carrier LAX3 (Like Aux1) that promotes lateral root emergence.  Auxin-induced expression of LAX3 in turn induces a selection of cell-wall-remodelling enzymes, which are likely to promote cell separation in advance of developing lateral root primordia.","","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,X,"",X,"","",""
Manes.02G161700.1,AT1G21910,5.81e-51,165,DEHYDRATION RESPONSE ELEMENT-BINDING PROTEIN 26; DREB26,"encodes a member of the DREB subfamily A-5 of ERF/AP2 transcription factor family. The protein contains one AP2 domain. There are 15 members in this subfamily including RAP2.1, RAP2.9 and RAP2.10.","","",X,"","","","","","",X,"","",X,"","",X,X,"","","","","",X,"","",X,X,"","","","","","","","","","","","","","","","",X,X,X,X,X,X,X,X,"",X,X,X,"",X,X,"",""
Manes.02G162400.4,AT1G77620,3.63e-173,543,"",P-loop containing nucleoside triphosphate hydrolases superfamily protein;(source:Araport11),X,X,"",X,X,"","","","",X,"","","","","","","","","","","","","","","","","","","",X,X,"","","","","","","","","","",X,X,"","","","","","","","","","","","","","",X,"",""
Manes.02G165100.1,AT1G77490,0,592,TAPX; THYLAKOIDAL ASCORBATE PEROXIDASE,"Encodes a chloroplastic thylakoid ascorbate peroxidase tAPX.  Ascorbate peroxidases are enzymes that scavenge hydrogen peroxide in plant cells.  Eight types of APX have been described for Arabidopsis: three cytosolic (APX1, APX2, APX6), two chloroplastic types (stromal sAPX, thylakoid tAPX), and three microsomal (APX3, APX4, APX5) isoforms.","","","","","","","","","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"",""
Manes.02G165200.1,AT1G44170,0,723,ALDEHYDE DEHYDROGENASE 3H1; ALDEHYDE DEHYDROGENASE 4; ALDH3H1; ALDH4,"Encodes an aldehyde dehydrogenase induced by ABA and dehydration that can oxidize saturated aliphatic aldehydes. It is also able to oxidize beta-unsaturated aldehydes, but not aromatic aldehydes. Activity of ALDH3H1 is NAD +-dependent.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"",""
Manes.02G165800.9,AT1G21730,0,1097,KIN7.1; KINESIN 7.1,P-loop containing nucleoside triphosphate hydrolases superfamily protein;(source:Araport11),"","","","","","","","","","","","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"","","","","",X,X,"","","","","","",X,"",""
Manes.02G168200.1,AT1G77320,0,1033,MEI1; MEIOSIS DEFECTIVE 1,Mutant is defective in meiosis and produces abnormal microspores. Encodes a BRCT-domain-containing protein that could be specific to the meiotic cell cycle and that plays a crucial role in some DNA repair events independent of SPO11 DSB recombination repair.,X,X,"",X,X,"","","","",X,"","","","","","","","","","","","","","","","","","","",X,X,"","","","","","","","","","",X,X,"","","","","","","","","","","","","","",X,"",""
Manes.02G169300.1,AT5G52560,0,541,ATUSP; UDP-SUGAR PYROPHOSPHORYLASE; USP,"Encodes a protein with UTP:sugar 1-phosphate uridylyltransferase activity, which has been shown to use a wide range of substrates including glucose-1-P, galactose-1-P, xylose-1-P, arabinose-1-P and glucuronate-1-P. The enzyme was shown to require Mg2+ or Mn2+ for activity. Mutations in USP can lead to a complete loss of male fertility.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"","","","","","","","","","","","","","","","","","","","","","","","",""
Manes.02G173300.1,AT1G21450,0,697,SCARECROW-LIKE 1; SCL1,Encodes a scarecrow-like protein (SCL1). Member of GRAS gene family. The mRNA is cell-to-cell mobile.,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"","",X,"",""
Manes.02G174500.1,AT4G25980,1.57e-126,366,"",peroxidase superfamily protein;(source:Araport11),"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"",""
Manes.02G177200.1,AT5G60900,7.29e-147,448,RECEPTOR-LIKE PROTEIN KINASE 1; RLK1,Encodes a receptor-like protein kinase.,"","","","","","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,X,"","","",X,X,"","","","","","","","","","","","","","","","","","",""
Manes.02G177400.2,AT5G60900,1.54e-142,436,RECEPTOR-LIKE PROTEIN KINASE 1; RLK1,Encodes a receptor-like protein kinase.,"","","","","","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,X,"","","",X,X,"","","","","","","","","","","","","","","","","","",""
Manes.02G182500.1,AT1G71695,9.02e-162,456,"",Peroxidase superfamily protein;(source:Araport11),"","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,X,"",X,X,"",""
Manes.02G185000.1,AT1G71695,4.06e-112,330,"",Peroxidase superfamily protein;(source:Araport11),"","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,X,"",X,X,"",""
Manes.02G187200.1,AT5G09360,0,579,LAC14; LACCASE 14,"putative laccase, a member of laccase family of genes (17 members in Arabidopsis).","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"","",X,"",""
Manes.02G187400.2,AT1G71820,0,1225,SEC6,Encodes a member of the exocyst complex gene family. The exocyst is a protein complex involved in tethering vesicles to the plasma membrane during regulated or polarized secretion.,"","","","","","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"","","","","","","","","","","","","","","","","","",""
Manes.02G190000.25,AT1G71860,3.03e-156,437,ATPTP1; PROTEIN TYROSINE PHOSPHATASE 1; PTP1,Encodes a protein with  tyrosine phosphatase activity that is downregulated in response to cold and upregulated in response to salt stress.,"","","","","","","","","","","","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"","","","","",X,X,"","","","","","",X,"",""
Manes.02G193900.2,AT5G23960,4.87e-118,354,ATTPS21; TERPENE SYNTHASE 21; TPS21TERPENE SYNTHASE 21; TPS21,Encodes a sesquiterpene synthase involved in generating all of the group A sesquiterpenes found in the Arabidopsis floral volatile blend.  Strongly expressed in the stigma.,"","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,X,"",X,"","",""
Manes.02G199800.13,AT4G12010,0,689,DOMINANT SUPRESSOR OF CAMTA3 NUMBER 1; DSC1,Leucine-rich repeat domain (NLR) receptor. Dominant negative alleles suppress catma3 autoimmunity. Co-regulates with WRKY19 basal levels of immunity to root-knot nematodes.,"","",X,"","","","","","","","","",X,"",X,X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,X,X,"",X,X,"",""
Manes.02G204300.1,AT4G31180,0,729,IBI1; IMPAIRED IN BABA-INDUCED DISEASE IMMUNITY 1,"The IBI1 gene encodes an aspartyl tRNA synthetase (AspRS). In addition, the IBI1 protein acts as a receptor protein of the chemical plant defence activator beta-aminobutyric acid (BABA). Binding of IBI1 to the active R-enantiomer of BABA primes non-canonical defence activity of the AspRS protein against pathogen attack.","","",X,"","","","","","","","","",X,"","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,X,"",X,X,"",""
Manes.02G205700.1,AT5G17680,3.38e-169,533,"",disease resistance protein (TIR-NBS-LRR class);(source:Araport11),"","",X,"","","","","","","","","",X,"",X,X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,X,X,"",X,X,"",""
Manes.02G206150.3,AT5G17680,0,730,"",disease resistance protein (TIR-NBS-LRR class);(source:Araport11),"","",X,"","","","","","","","","",X,"",X,X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,X,X,"",X,X,"",""
Manes.02G213308.1,AT3G17660,1.22e-67,208,AGD15; ARF-GAP DOMAIN 15,"A member of ARF GAP domain (AGD), A thaliana has 15 members, grouped into four classes; AGD15 belongs to the class 4, together with AGD14.","","",X,"","","","","","","","","",X,X,X,X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,X,X,"",X,X,"",""
Manes.02G215430.5,AT4G27190,5.52e-81,290,"",NB-ARC domain-containing disease resistance protein;(source:Araport11),"","",X,"","",X,"","","",X,"","",X,"",X,X,X,X,X,X,X,"",X,"","",X,X,"","","","","","","","","",X,X,"","","","","","","","","","","","","",X,X,X,X,"",X,X,"",X
Manes.02G219400.5,AT2G31270,3.62e-23,103,ARABIDOPSIS HOMOLOG OF YEAST CDT1; ARABIDOPSIS HOMOLOG OF YEAST CDT1 A; ATCDT1A; CDT1; CDT1A; HOMOLOG OF YEAST CDT1 A,Encodes a cyclin-dependent protein kinase. Involved in nuclear DNA replication and plastid division. Located in nucleus and chloroplast.,"",X,"",X,X,"","","","","","","","","","","","","","","","","","","","","","","","",X,X,"","","","","","","","","","",X,X,"","","","","","","","","","","","","","","","",""
Manes.02G219400.5,AT3G54710,2.24e-23,103,ARABIDOPSIS HOMOLOG OF YEAST CDT1; ARABIDOPSIS HOMOLOG OF YEAST CDT1 B; ATCDT1B; CDT1; CDT1B; HOMOLOG OF YEAST CDT1 B HOMOLOG OF YEAST CDT1 B,Encodes a cyclin-dependent protein kinase. Involved in nuclear DNA replication and plastid division.,"",X,"",X,X,"","","","","","","","","","","","","","","","","","","","","","","","",X,X,"","","","","","","","","","",X,X,"","","","","","","","","","","","","","","","",""
Manes.02G219700.1,AT1G48410,0,1627,AGO1; ARGONAUTE 1; ATAGO1; ICU9,"Encodes an RNA Slicer that selectively recruits microRNAs and siRNAs.  There is currently no evidence that AGO1 Slicer is in a high molecular weight RNA-induced silencing complex (RISC).  Mutants are defective in post-transcriptional gene silencing and have pleiotropic developmental and morphological defects. Through its action on the  regulation of ARF17 expression, the protein regulates genes involved at the cross talk between auxin and light signaling during adventitious root development. AGO1 seems to be targeted for degradation by silencing suppressor F-box-containing proteins from Turnip yellow virus and Cucurbit aphid-borne yellow virus.","","",X,"","","","","","","","","",X,"","",X,X,"","","","","",X,"","",X,X,"","","","","","","","","","","","","","","","","","","","","","","","","",X,X,X,"",X,X,"",""
Manes.02G225400.1,AT3G13050,1.61e-177,507,ATNIAP; NIAP; NICOTINATE TRANSPORTER,Encodes a plant nicotinate transporter than can also transport trigonelline (N-methylnicotinate).,"","","","","","","","","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"","",X,"",""
Manes.03G004600.1,AT3G47570,0,811,"",Leucine-rich repeat protein kinase family protein;(source:Araport11),"","",X,"","",X,"","","",X,"","",X,"","",X,X,X,X,X,X,"",X,X,X,X,X,X,"","","",X,X,X,X,X,X,X,"",X,"","","",X,X,X,X,X,X,X,X,X,X,X,X,"",X,X,"",X
Manes.03G010300.1,AT2G25140,0,1515,CASEIN LYTIC PROTEINASE B-M; CASEIN LYTIC PROTEINASE B4; CLPB-M; CLPB4; HEAT SHOCK PROTEIN 98.7; HSP98.7,"Encodes ClpB4, which belongs to the Casein lytic proteinase/heat shock protein 100 (Clp/Hsp100) family.  Targeted to the mitochondrion, also referred to as ClpB-m.  Transcripts of ClpB4 accumulate dramatically at high temperatures, suggesting that it may be involved in response to heat stress.","","","","","","","","","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"",""
Manes.03G015900.4,AT1G51940,1.04e-104,323,ATLYK3; LYK3; LYSM-CONTAINING RECEPTOR-LIKE KINASE 3,"Encodes a LysM-containing receptor-like kinase.  Induction of chitin-responsive genes by chitin treatment is not blocked in the mutant. Based on protein sequence alignment analysis, it has a typical RD signaling domain in its catalytic loop and possesses autophosphorylation activity.It is required for the suppression of defense responses in absence of pathogen infection or upon abscisic acid treatment. Loss-of-function mutants display enhanced resistance to Botrytis cinerea and Pectobacterium carotovorum. Its expression is repressed by pathogen infection and biological elicitors and is induced abscisic acid.Expression is strongly repressed by elicitors and fungal infection, and is induced by the hormone abscisic acid (ABA). Insertional mutants show increased expression of PHYTOALEXIN-DEFICIENT 3 (PAD3), enhanced resistance to Botrytis cinerea and Pectobacterium carotovorum infection and reduced physiological responses to ABA, suggesting that LYK3 is important for the cross-talk between signaling pathways activated by ABA and pathogens (PMID:24639336).","","",X,"","",X,"","","",X,"","",X,"",X,X,X,"",X,X,"","",X,X,X,X,X,X,"","","","",X,X,X,X,X,X,"",X,"","","",X,X,X,X,X,X,X,X,X,X,X,X,"",X,X,"",X
Manes.03G017500.1,AT5G11420,0,606,"",Encodes a DUF642 cell wall protein.,"","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,X,"",X,"","",""
Manes.03G017900.4,AT5G11380,0,1011,1-DEOXY-D-XYLULOSE 5-PHOSPHATE (DXP) SYNTHASE 3; 1-DEOXY-D-XYLULOSE 5-PHOSPHATE SYNTHASE 3; DXPS3; DXS3,Encodes a protein postulated to have 1-deoxy-D-xylulose 5-phosphate synthase activity.,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,"","","","","","","","","","","","","","","","","","","","","","","","",""
